Pincode,City Name,State
744104,Port Blair,Andaman Nicobar
744208,Port Blair,Andaman Nicobar
744107,Port Blair,Andaman Nicobar
744201,Port Blair,Andaman Nicobar
744302,Port Blair,Andaman Nicobar
744202,Port Blair,Andaman Nicobar
744102,Port Blair,Andaman Nicobar
744211,Port Blair,Andaman Nicobar
744207,Port Blair,Andaman Nicobar
744103,Port Blair,Andaman Nicobar
744209,Port Blair,Andaman Nicobar
744304,Port Blair,Andaman Nicobar
744203,Port Blair,Andaman Nicobar
744101,Port Blair,Andaman Nicobar
744204,Port Blair,Andaman Nicobar
744303,Port Blair,Andaman Nicobar
744105,Port Blair,Andaman Nicobar
744210,Port Blair,Andaman Nicobar
744205,Port Blair,Andaman Nicobar
744106,Port Blair,Andaman Nicobar
744206,Port Blair,Andaman Nicobar
504251,Adilabad,Telengana
504001,Adilabad,Telengana
504002,Adilabad,Telengana
504293,Adilabad,Telengana
504101,Adilabad,Telengana
504324,Adilabad,Telengana
504103,Bhainsa,Telengana
504204,Adilabad,Telengana
504304,Adilabad,Telengana
504106,Adilabad,Telengana
504209,Adilabad,Telengana
504110,Adilabad,Telengana
504201,Adilabad,Telengana
504294,Adilabad,Telengana
504206,Adilabad,Telengana
504218,Adilabad,Telengana
504306,Adilabad,Telengana
504207,Adilabad,Telengana
504307,Adilabad,Telengana
504208,Adilabad,Telengana
504308,Adilabad,Telengana
504309,Adilabad,Telengana
504322,Adilabad,Telengana
504344,Adilabad,Telengana
504305,Adilabad,Telengana
504342,Adilabad,Telengana
504346,Adilabad,Telengana
504296,Adilabad,Telengana
504325,Adilabad,Telengana
504313,Adilabad,Telengana
504216,Adilabad,Telengana
504205,Adilabad,Telengana
504231,Adilabad,Telengana
504232,Adilabad,Telengana
504203,Adilabad,Telengana
504318,Adilabad,Telengana
504214,Adilabad,Telengana
504109,Adilabad,Telengana
504215,Adilabad,Telengana
504220,Adilabad,Telengana
504310,Adilabad,Telengana
504343,Adilabad,Telengana
504102,Adilabad,Telengana
504340,Adilabad,Telengana
504323,Adilabad,Telengana
504104,Narsapur,Telengana
504106,Nirmal,Telengana
